team,meaning,category,subCategory
GB,cook,action,action
KD,cook,action,action
KR,cook,action,action
GB,cut,action,action
KR,cut,action,action
SU,cut,action,action
IL,eat,action,action
KD,eat,action,action
KR,eat,action,action
AB,gather,action,action
GB,gather,action,action
KR,gather,action,action
IL,hide,action,action
KD,hide,action,action
NC,hide,action,action
BW,hunt,action,action
GB,hunt,action,action
IL,hunt,action,action
IL,pound,action,action
KR,pound,action,action
NC,pound,action,action
KD,sleep,action,action
KR,sleep,action,action
NC,sleep,action,action
GB,child,noun,animate
IL,child,noun,animate
SU,child,noun,animate
IL,deer,noun,animate
KD,deer,noun,animate
NC,deer,noun,animate
BW,man,noun,animate
IL,man,noun,animate
KD,man,noun,animate
BW,snake,noun,animate
NC,snake,noun,animate
SU,snake,noun,animate
BW,tiger,noun,animate
KR,tiger,noun,animate
NC,tiger,noun,animate
BW,woman,noun,animate
IL,woman,noun,animate
KR,woman,noun,animate
GB,fire,noun,inanimate
IL,fire,noun,inanimate
KD,fire,noun,inanimate
GB,fruit,noun,inanimate
IL,fruit,noun,inanimate
KD,fruit,noun,inanimate
BW,knife,noun,inanimate
IL,knife,noun,inanimate
KD,knife,noun,inanimate
BW,meat,noun,inanimate
IL,meat,noun,inanimate
KR,meat,noun,inanimate
IL,rock,noun,inanimate
KR,rock,noun,inanimate
SU,rock,noun,inanimate
IL,water,noun,inanimate
KD,water,noun,inanimate
SU,water,noun,inanimate
BW,that,property,demonstrative
KD,that,property,demonstrative
NC,that,property,demonstrative
IL,this,property,demonstrative
NC,this,property,demonstrative
SU,this,property,demonstrative
BW,bad,property,property
GB,bad,property,property
IL,bad,property,property
BW,dull,property,property
GB,dull,property,property
IL,dull,property,property
GB,good,property,property
IL,good,property,property
NC,good,property,property
IL,sharp,property,property
KD,sharp,property,property
NC,sharp,property,property
GB,many,property,quantity
KR,many,property,quantity
LJ,many,property,quantity
BW,one,property,quantity
KR,one,property,quantity
NC,one,property,quantity
BW,big,property,size
GB,big,property,size
MS,big,property,size
IL,small,property,size
NC,small,property,size
TM,small,property,size
